2025-10-30 01:00:55.177 [info] ChatSessionStore: Migrating 0 chat sessions from storage service to file system
2025-10-30 01:00:55.377 [info] Started local extension host with pid 201471.
2025-10-30 01:00:55.418 [error] Extension 'openai.chatgpt' wants API proposal 'languageModelProxy' but that proposal DOES NOT EXIST. Likely, the proposal has been finalized (check 'vscode.d.ts') or was abandoned.
2025-10-30 01:00:55.419 [error] Extension 'openai.chatgpt CANNOT USE these API proposals 'chatSessionsProvider'. You MUST start in extension development mode or use the --enable-proposed-api command line flag
2025-10-30 01:00:56.618 [info] MCP Registry configured: https://api.mcp.github.com/2025-09-15
2025-10-30 01:00:56.850 [info] Settings Sync: Account status changed from uninitialized to unavailable
2025-10-30 01:00:58.112 [info] [perf] Render performance baseline is 27ms
2025-10-30 01:01:32.424 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 01:06:16.413 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 01:11:18.315 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 01:16:20.184 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 01:21:21.930 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 01:26:23.706 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 01:31:25.483 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 01:36:27.244 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 01:41:29.025 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 01:46:30.854 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 01:51:32.666 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 01:56:34.491 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 02:01:36.288 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 02:06:38.068 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 02:11:39.883 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 02:16:41.671 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 02:21:43.470 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 02:26:45.266 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 02:31:47.059 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 02:36:48.850 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 02:41:50.673 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 02:46:52.501 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 02:51:54.279 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 02:56:56.077 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 03:01:57.862 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 03:06:59.684 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 03:12:01.498 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 03:17:03.320 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 03:22:05.129 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 03:27:06.916 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 03:32:08.749 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 03:37:10.524 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 03:42:12.328 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 03:47:14.103 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 03:52:15.909 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 03:57:17.696 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 04:02:19.500 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 04:07:21.290 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 04:12:23.105 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 04:17:24.887 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 04:22:26.723 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 04:27:28.511 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 04:32:30.318 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 04:37:32.104 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 04:42:33.910 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 04:47:35.738 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 04:52:37.536 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 04:57:39.341 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 05:02:41.155 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 05:07:42.947 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 05:12:44.749 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 05:17:46.546 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 05:22:48.371 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 05:27:50.176 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 05:32:51.973 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 05:37:53.745 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 05:42:55.525 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 05:47:57.335 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 05:52:59.155 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 05:58:00.992 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 06:03:02.780 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 06:08:04.558 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 06:13:06.345 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 06:18:08.142 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 06:23:09.926 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 06:28:11.778 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 06:33:13.608 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 06:38:15.378 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 06:43:17.156 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 06:48:18.955 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 06:53:20.744 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 06:58:22.543 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 07:03:24.347 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 07:08:26.157 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 07:13:27.961 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 07:18:29.920 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 07:23:31.796 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 07:28:33.672 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 07:33:35.597 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 07:38:37.491 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 07:43:39.382 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 07:48:41.277 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 07:53:43.234 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 07:58:45.111 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 08:03:47.022 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 08:08:48.932 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 08:13:50.854 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 08:18:52.742 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 08:23:54.622 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 08:28:56.524 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 08:33:58.450 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 08:39:00.336 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 08:44:02.216 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 08:49:04.118 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 08:54:06.031 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 08:59:07.931 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 09:04:09.847 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 09:09:11.762 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 09:14:13.655 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 09:19:15.526 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 09:24:17.430 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 09:29:19.321 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 09:34:21.196 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 09:39:23.070 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 09:44:24.937 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 09:49:26.869 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 09:54:28.758 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 09:59:30.692 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 10:04:32.591 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 10:09:34.506 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 10:14:36.400 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 10:19:38.288 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 10:24:40.162 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 10:29:42.094 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 10:34:43.996 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 10:39:45.891 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 10:44:47.785 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 10:49:49.688 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 10:54:51.592 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 10:59:53.491 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 11:04:55.377 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 11:09:57.294 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 11:14:59.177 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 11:20:01.081 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 11:25:02.987 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 11:30:04.881 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 11:35:06.762 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 11:40:08.661 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 11:45:10.584 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 11:50:12.485 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 11:55:14.370 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 12:00:16.292 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 12:05:18.198 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 12:10:20.119 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 12:15:22.029 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 12:20:23.898 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 12:25:25.801 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 12:30:27.705 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 12:35:29.605 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 12:40:31.504 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 12:45:33.417 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 12:50:35.340 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 12:55:37.244 [error] An unknown error occurred. Please consult the log for more details.
2025-10-30 13:00:39.131 [error] An unknown error occurred. Please consult the log for more details.
